response,title,main_desc,prerequisite,what_u_learn,instructor,inst_desig,inst_bio,total_duration,total_duration_unit,course_start_date,contents,display_price,emi,currency
<200 https://www.udacity.com/course/java-developer-nanodegree--nd035>,Become a Java Web Developer,"<p>Learn enterprise scale back-end development with Java, and be prepared for the software engineering jobs that are in demand at a majority of Fortune 500 companies like Google, Amazon, Netflix, and more.</p>",Intermediate knowledge of Java,"Learn back-end development with the Java programming language, one of the most popular programming languages in the world and one a majority of large enterprises rely on for their infrastructure.  ",Kesha Williams| Sareeta Panda| Peter Zastoupil| Alex Pritchard,Instructor| Instructor| Instructor| Instructor,"Kesha has over 20 years experience in software development and is a software engineering manager at Chick-fil-A, routinely leading innovation teams in proving out the use of cloud services to solve complex business problems. She was recently named an Alexa Champion by Amazon.| Sareeta is a Java enthusiast and Senior Developer at Walmart e-Commerce. She specializes in Enterprise Application development with Java and Kafka, NoSQL, Spring security, and CI/CD. Sareeta has over a decade of experience, spanning recently acquired startups to top Fortune 500 companies.| Peter Zastoupil is an enterprise developer and technical administrator. He has seven years of on-the-job experience building features for massive enterprise Java servers, and over four years of teaching those skills to new developers.| Alex is a Senior Software Engineer for CPA Global. He is excited to combine his background as a music educator with more than a decade of enterprise Java experience to help create this practical course on Data Stores and Persistence.",4,months,2022-10-12T00:00:00,"<?xml version=""1.0""?><mainmodule><module1><heading>Spring Boot Basics</heading><subheading><item1>Build a Web-based Personal Storage Application</item1><item2>Build the Back-end System for a Car Website</item2><item3>Design the Data Model for a SaaS Application</item3><item4>Implement Authorization for an eCommerce Application</item4></subheading></module1><module2><heading>Web Services and APIs</heading><subheading></subheading></module2><module3><heading>Data Stores & Persistence</heading><subheading></subheading></module3><module4><heading>Security and DevOps</heading><subheading></subheading></module4></mainmodule>",77676,22849,INR
<200 https://www.udacity.com/course/java-programming-nanodegree--nd079>,Become a Java Programmer,"<p>Advance your career with Java techniques like syntax, conditional statements, functions, loops and collections. Exit the program with employable skills to solve real-world programming problems.</p>","Basic programming concepts like variables, loops and conditionals.","This Nanodegree program is intended to elevate your Java abilities and teach you the fundamental skills used by Java developers to design, code, test and deploy cutting-edge Java software. It is ideal for programming beginners with little or no Java experience who want to set themselves up for success as a professional Java developer and deploy functional Java-based applications of their own creation.",Jeff Phillips| Dustin Hellstern| Alex Pritchard,Senior Software Engineer| Software Engineer| Senior Software Engineer,"During his 20+ years of software development experience, Jeff has worked on embedded avionics flight controls systems for both Honeywell and Boeing. Jeff then moved into Java Cloud based SAAS applications. He has earned a Bachelor's and Master's degree in Computer Science from Arizona State University.| Dustin is a software engineer with 15 years of Java experience, including over 7 years designing and building large-scale systems for one of the top companies in the tech industry. He is excited to share his knowledge with you in this program.| Alex is a Senior Software Engineer for CPA Global. He is excited to combine his background as a music educator with more than a decade of enterprise Java experience to help create this hands-on course about testing and deploying Java applications.",3,months,2022-10-12T00:00:00,"<?xml version=""1.0""?><mainmodule><module1><heading>Java Fundamentals</heading><subheading><item1>Hotel Reservation Application</item1><item2>Legacy Web Crawler</item2><item3>UdaSecurity</item3></subheading></module1><module2><heading>Advanced Java Programming Techniques</heading><subheading></subheading></module2><module3><heading> Java Application Deployment</heading><subheading></subheading></module3></mainmodule>",58257,22849,INR
<200 https://www.udacity.com/course/full-stack-interview-prep--ud252>,Full-Stack Interview Prep,"<p>This course is an excellent way to prepare for technical interviews. You’ll experience a mock interview, and review detailed analysis on how to field key industry questions. You’ll review common Full Stack Web Developer interview topics like palindrome functions and data structures. You’ll also learn best practices for behavioral questions and whiteboard problems. Upon completing this course, you’ll be ready to showcase your skills during your Full Stack Web Developer interview!</p>","See the , for using Udacity.","Udacity's Intro to Programming is your first step towards careers in Web and App Development, Machine Learning, Data Science, AI, and more! This program is perfect for beginners.",Dhruv Parthasarathy,,,,,,"<?xml version=""1.0""?><mainmodule><module1><heading>Interview Practice</heading><subheading><item1>Understand how to answer questions like ""What happens when you go to google.com?""</item1></subheading></module1></mainmodule>",Free,,
<200 https://www.udacity.com/course/self-driving-car-engineer-nanodegree--nd0013>,Self-Driving Car Engineer,"<p>Self-driving cars are transformational technology, on the cutting-edge of robotics, machine learning and engineering. Learn the skills and techniques used by self-driving car teams at the most advanced technology companies in the world.</p>","Python, C++, Linear Algebra and Calculus","In this program, you will learn the techniques that power self-driving cars across the full stack of a vehicle’s autonomous capabilities. Using Deep Learning with radar and lidar sensor fusion, you will train the vehicle to detect and identify its surroundings to inform navigation. ",Thomas Hossler| Antje Muntzinger| Andreas Haja| Aaron Brown| Munir Jojo Verge| Mathilde Badoual| David Silver,Sr Deep Learning Engineer| Self-Driving Car Engineer| Professor| Senior AV Software Engineer| Lead Autonomous & AI Systems Developer at MITRE| Fifth year PhD student at UC Berkeley| Senior Software Engineer,"Thomas is originally a geophysicist but his passion for Computer Vision led him to become a Deep Learning engineer at various startups. By creating online courses, he is hoping to make education more accessible. When he is not coding, Thomas can be found in the mountains skiing or climbing.
| Antje Muntzinger is a technical lead for sensor fusion at Mercedes-Benz. She wrote her PhD about sensor fusion for advanced driver assistance systems and holds a diploma in mathematics. By educating more self-driving car engineers, she hopes to realize the dream of fully autonomous driving together in the future.| Andreas Haja is an engineer, educator and autonomous vehicle enthusiast with a PhD in computer science. Andreas now works as a professor, where he focuses on project-based learning in engineering. During his career with Volkswagen and Bosch he developed camera technology and autonomous vehicle prototypes.| Aaron has a background in electrical engineering, robotics and deep learning. Currently working with Mercedes-Benz Research & Development as a Senior AV Software Engineer, he has worked as a Content Developer and Simulation Engineer at Udacity focusing on developing projects for self-driving cars.| Before MITRE, Munir was a Motion Planning & Decision-Making Manager at Amazon. He also worked for a 2 Self-driving car companies and for WaltDisney Shanghai building TronLightcycle. Munir holds a B.Eng. in Aerospace, a M.S. in Physics, and a M.S. in Space Studies.| Mathilde has a strong background in optimization and control, including reinforcement learning and has an engineering diploma from the electrical engineering school Supelec, in France. Previously she worked at Tesla in the energy and optimization team.| Prior to working as a Senior Software Engineer in the autonomous vehicle industry, David Silver led School of Autonomous Systems at Udacity. David was also a research engineer on the autonomous vehicle team at Ford. He has an MBA from Stanford, and a BSE in computer science from Princeton.",5,months,2022-10-12T00:00:00,"<?xml version=""1.0""?><mainmodule><module1><heading>Computer Vision</heading><subheading><item1>Object Detection in an Urban Environment</item1><item2>3D Object Detection</item2><item3>Scan Matching Localization</item3><item4>Motion Planning and Decision Making for Autonomous Vehicles</item4><item5>Control and Trajectory Tracking for Autonomous Vehicles</item5></subheading></module1><module2><heading>Sensor Fusion</heading><subheading></subheading></module2><module3><heading>Localization</heading><subheading></subheading></module3><module4><heading>Planning</heading><subheading></subheading></module4><module5><heading>Control</heading><subheading></subheading></module5></mainmodule>", ,,INR
<200 https://www.udacity.com/course/react-nanodegree--nd019>,Become a React Developer,<p>Become a successful React developer by learning to build declarative user interfaces for the web with React and manage state more predictably in your applications with Redux.</p>,"HTML & CSS, JavaScript, Asynchronous JavaScript (AJAX), and Web Forms","Master the job-ready React skills that companies around the world are hiring for. Learners will embark on a project-based learning journey building declarative user interfaces, making state more predictable, and boosting app efficiency and robustness. Learners will also have an optional opportunity to develop mobile apps for iOS and Android devices using React Native.",Andrew Wong| Michael Tsamis| Alyssa Hope| Tyler McGinnis| Richard Kalehoff,INSTRUCTOR| Senior Software Engineer| Senior Software Engineer| Instructor| Instructor,"Andrew is a Course Developer who enjoys making the world a better place through code. He first discovered his passion for teaching as an instructor at App Academy, and continues to enjoy empowering students to advance their education.| Michael is a senior software engineer at Catchpoint Systems Inc. He graduated summa cum laude in 2011 with a Bachelor of Science degree in Computer Information Systems. He is also an active member and speaker for React NYC, a Meetup group for ReactJS and React Native developers in New York City.| Alyssa is a full stack developer, focusing for the last few years in Javascript. She also spent time as the lead instructor of a coding bootcamp. Her passions are clean code, clear thinking, and mentorship.| Tyler found his love for teaching at DevMountain, where he was lead instructor and curriculum engineer. He's a Google Developer Expert and is entrenched in the React community organizing React Utah, and running React Newsletter.| Richard is a Course Developer with a passion for teaching. He has a degree in computer science, and first worked for a nonprofit doing everything from front end web development, to backend programming, to database and server management.",2,months,2022-10-12T00:00:00,"<?xml version=""1.0""?><mainmodule><module1><heading>React Fundamentals</heading><subheading><item1>MyReads: A Book Tracking App</item1><item2>Employee Polls Web App</item2><item3>(Optional) Build a Customer Relationship Management App</item3></subheading></module1><module2><heading>React & Redux</heading><subheading></subheading></module2><module3><heading>React Native (OPTIONAL)</heading><subheading></subheading></module3></mainmodule>",38838,22849,INR
<200 https://www.udacity.com/course/ai-for-trading--nd880>,Artificial Intelligence for Trading,"<p>Complete real-world projects designed by industry experts, covering topics from asset management to trading signal generation. Master AI algorithms for trading, and build your career-ready portfolio.</p>",Python & Mathematics,"Learn the basics of quantitative analysis, including data processing, trading signal generation, and portfolio management. Use Python to work with historical stock data, develop trading strategies, and construct a multi-factor model with optimization.",Cindy Lin| Arpan Chakraborty| Elizabeth Otto Hamel| Eddy Shyu| Brok Bucholtz| Parnian Barekatain| Juan Delgado| Luis Serrano| Cezanne Camacho| Mat Leonard,Curriculum Lead| Instructor| Instructor| Instructor| Instructor| Instructor| Content Developer| Instructor| Curriculum Lead| Instructor,"Cindy is a quantitative analyst with experience working for financial institutions such as Bank of America Merrill Lynch, Morgan Stanley, and Ping An Securities. She has an MS in Computational Finance from Carnegie Mellon University.| Arpan is a computer scientist with a PhD from North Carolina State University. He teaches at Georgia Tech (within the Masters in Computer Science program), and is a coauthor of the book Practical Graph Mining with R.| Elizabeth received her PhD in Applied Physics from Stanford University, where she used optical and analytical techniques to study activity patterns of large ensembles of neurons. She formerly taught data science at The Data Incubator.| Eddy has worked at BlackRock, Thomson Reuters, and Morgan Stanley, and has an MS in Financial Engineering from HEC Lausanne. Eddy taught data analytics at UC Berkeley and contributed to Udacity’s Self-Driving Car program.| Brok has a background of over five years of software engineering experience from companies like Optimal Blue. Brok has built Udacity projects for the Self Driving Car, Deep Learning, and AI Nanodegree programs.| Parnian is a self-taught AI programmer and researcher. Previously, she interned at OpenAI on multi-agent Reinforcement Learning and organized the first OpenAI hackathon. She also runs a ShannonLabs fellowship to support the next generation of independent researchers.| Juan is a computational physicist with a Masters in Astronomy. He is finishing his PhD in Biophysics. He previously worked at NASA developing space instruments and writing software to analyze large amounts of scientific data using machine learning techniques.| Luis was formerly a Machine Learning Engineer at Google. He holds a PhD in mathematics from the University of Michigan, and a Postdoctoral Fellowship at the University of Quebec at Montreal. | Cezanne is a machine learning educator with a Masters in Electrical Engineering from Stanford University. As a former researcher in genomics and biomedical imaging, she’s applied machine learning to medical diagnostic applications.| Mat is a former physicist, research neuroscientist, and data scientist. He did his PhD and Postdoctoral Fellowship at the University of California, Berkeley. ",6,months,2022-10-12T00:00:00,"<?xml version=""1.0""?><mainmodule><module1><heading>Basic Quantitative Trading</heading><subheading><item1>Trading with momentum</item1><item2>Breakout Strategy</item2><item3>Smart Beta and Portfolio Optimization</item3><item4>Alpha Research and Factor Modeling</item4><item5>Sentiment Analysis using NLP</item5><item6>Deep Neural Network with News Data</item6><item7>Combine Signals for Enhanced Alpha</item7><item8>Backtesting</item8></subheading></module1><module2><heading>Advanced Quantitative Trading</heading><subheading></subheading></module2><module3><heading>Stocks, Indices, and ETFs</heading><subheading></subheading></module3><module4><heading>Factor Investing and Alpha Research</heading><subheading></subheading></module4><module5><heading>Sentiment Analysis with Natural Language Processing</heading><subheading></subheading></module5><module6><heading>Advanced Natural Language Processing with Deep Learning</heading><subheading></subheading></module6><module7><heading>Combining Multiple Signals</heading><subheading></subheading></module7><module8><heading>Simulating Trades with Historical Data</heading><subheading></subheading></module8></mainmodule>",116514,22849,INR
<200 https://www.udacity.com/course/data-structures-and-algorithms-in-swift--ud1011>,Data Structures & Algorithms in Swift,"<p>Technical interviews follow a pattern. If you know the pattern, you’ll be a step ahead of the competition. This course will introduce you to common data structures and algorithms in Swift. You'll review frequently-asked technical interview questions and learn how to structure your responses.</p>","See the , for using Udacity.","Udacity's Intro to Programming is your first step towards careers in Web and App Development, Machine Learning, Data Science, AI, and more! This program is perfect for beginners.",Brynn Claypoole| Horatio Thomas,,,,,,"<?xml version=""1.0""?><mainmodule><module1><heading>Data Structures and Algorithms</heading><subheading><item1>Code in Swift for interviews and practice with Pramp</item1></subheading></module1></mainmodule>",Free,,
<200 https://www.udacity.com/course/vr-interview-prep--ud251>,VR Interview Prep,"<p>This course is an excellent way to prepare for technical interviews. You’ll experience a mock interview, and review detailed analysis on how to field key industry questions. You'll review common VR Developer interview topics, including 3D graphics and scene optimization. You'll also learn best practices for answering behavioral questions and solving whiteboard problems. Upon completing this course, you’ll be ready to showcase your skills during your VR Developer interview!</p>","See the , for using Udacity.","Udacity's Intro to Programming is your first step towards careers in Web and App Development, Machine Learning, Data Science, AI, and more! This program is perfect for beginners.",Matt Sonic| Vasanth Mohan,,,,,,"<?xml version=""1.0""?><mainmodule><module1><heading>Interview Practice</heading><subheading><item1>Analyze common interview questions and break down the steps to answer</item1></subheading></module1></mainmodule>",Free,,
<200 https://www.udacity.com/course/data-analyst-nanodegree--nd002>,Become a Data Analyst,"<p>Use Python, SQL, and statistics to uncover insights, communicate critical findings, and create data-driven solutions</p>",Python & SQL,"Advance your programming skills and refine your ability to work with messy, complex datasets. You’ll learn to manipulate and prepare data for analysis, and create visualizations for data exploration. Finally, you’ll learn to use your data skills to tell a story with data.",Josh Bernhard | Sebastian Thrun| Derek Steer| Juno Lee | Mike Yi| David Venturi| Sam Nelson,Data Scientist at Nerd Wallet | Instructor| CEO at Mode| Curriculum Lead at Udacity| Data Analyst Instructor| Data Analyst Instructor| Product Lead,"Josh has been sharing his passion for data for nearly a decade at all levels of university, and as Lead Data Science Instructor at Galvanize. He's used data science for work ranging from cancer research to process automation.| As the founder and president of Udacity, Sebastian’s mission is to democratize education. He is also the founder of Google X, where he led projects including the Self-Driving Car, Google Glass, and more.| Derek is the CEO of Mode Analytics. He developed an analytical foundation at Facebook and Yammer and is passionate about sharing it with future analysts. He authored SQL School and is a mentor at Insight Data Science.| Juno is the curriculum lead for the School of Data Science. She has been sharing her passion for data and teaching, building several courses at Udacity. As a data scientist, she built recommendation engines, computer vision and NLP models, and tools to analyze user behavior.| Mike is a content developer with a multidisciplinary academic background, including math, statistics, physics, and psychology. Previously, he worked on Udacity's Data Analyst Nanodegree program as a support lead.| Formerly a chemical engineer and data analyst, David created a personalized data science master's program using online resources. He has studied hundreds of online courses and is excited to bring the best to Udacity students.| Sam is the Product Lead for Udacity’s Data Analyst, Business Analyst, and Data Foundations programs. He’s worked as an analytics consultant on projects in several industries, and is passionate about helping others improve their data skills.",4,months,2022-10-12T00:00:00,"<?xml version=""1.0""?><mainmodule><module1><heading>Introduction to Data Analysis</heading><subheading><item1>Explore Weather Trends</item1><item2>Analyze Experiment Results</item2><item3>Wrangle and Analyze Data</item3><item4>Communicate Data Findings</item4></subheading></module1><module2><heading>Practical Statistics</heading><subheading><item1>Investigate a Dataset</item1></subheading></module2><module3><heading>Data Wrangling</heading><subheading></subheading></module3><module4><heading>Data Visualization with Python</heading><subheading></subheading></module4></mainmodule>",77676,22849,INR
<200 https://www.udacity.com/course/data-science-interview-prep--ud944>,Data Science Interview Prep,<p>Data science job interviews  can be daunting. Technical interviewers often ask you to design an experiment or model. You may need to solve problems using Python and SQL. You will likely need to show how you connect data skills to business decisions and strategy.</p>,"Students should have experience with the following technical skills:
,Don't yet have these technical skills but want to master them? Enroll in one of the following Nanodegree programs:
,See the , for using Udacity.","Udacity's Intro to Programming is your first step towards careers in Web and App Development, Machine Learning, Data Science, AI, and more! This program is perfect for beginners.",Arpan Chakraborty| Jimmy Lafontaine Rivera,,,,,,"<?xml version=""1.0""?><mainmodule><module1><heading>Ace the Data Scientist Interview</heading><subheading><item1>Explore jobs and roles in Data Science</item1><item2>Query a SQL database</item2><item3>Predict rain, identify fish, detect plagiarism</item3><item4>Practice Mock Interviews with Pramp!</item4><item5>Master behavioral interview questions</item5></subheading></module1><module2><heading>Data Analysis Interview Practice</heading><subheading><item1>Learn how to effectively solve problems</item1><item2>Evaluate free throw probability</item2><item3>Reduce data dimensionality</item3></subheading></module2><module3><heading>Machine Learning Interview Practice</heading><subheading></subheading></module3><module4><heading>Practice Interviewing</heading><subheading></subheading></module4><module5><heading>Behavioral Questions</heading><subheading></subheading></module5></mainmodule>",Free,,
<200 https://www.udacity.com/course/ios-interview-prep--ud240>,iOS Interview Prep,"<p>This course is an excellent way to prepare for technical interviews. You’ll experience a mock interview, and review detailed analysis on how to field key industry questions. You’ll review common iOS Developer interview topics ranging from notifications and delegates to the model view controller, and learn best practices for behavioral questions and whiteboard problems. You'll learn how to discuss your interests in iOS development. Senior mobile developers will share their tips for addressing common data issues. When you complete this course, you’ll be ready to showcase your skills during the iOS Developer interview!</p>","See the , for using Udacity.","Udacity's Intro to Programming is your first step towards careers in Web and App Development, Machine Learning, Data Science, AI, and more! This program is perfect for beginners.",Jarrod Parkes,,,,,,"<?xml version=""1.0""?><mainmodule><module1><heading>Interview Practice</heading><subheading><item1>Learn how to succinctly respond to questions like ""why are you interested in iOS""</item1></subheading></module1></mainmodule>",Free,,
<200 https://www.udacity.com/course/deep-learning-nanodegree--nd101>,Deep Learning,<p>Learn to leverage the capabilities of deep learning tools to fix complex problems and unlock next-level results for enterprises.</p>,Intermediate Python,"Join the next generation of deep learning talent that will help define a highly beneficial AI-powered future for our world. In this program, you’ll study cutting-edge topics such as neural networks, convolutional neural networks, recurrent neural networks, and generative adversarial networks.",Erick Galinkin| Giacomo Vianello| Nathan Klarer| Thomas Hossler,Principal AI Researcher | Rapid7| Principal Data Scientist| Head of ML & COO of Datyra| Sr Deep Learning Engineer,"Erick Galinkin is a hacker and computer scientist, leading research at the intersection of security and artificial intelligence at Rapid7. He has spoken at numerous industry and academic conferences on topics ranging from malware development to game theory in security.| Giacomo Vianello is an end-to-end data scientist with a passion for state-of-the-art but practical technical solutions. He is Principal Data Scientist at Cape Analytics, where he develops AI systems to extract intelligence from geospatial imagery bringing, cutting-edge AI solutions to the insurance and real estate industries.| Nathan is a data scientist and entrepreneur. He currently leads a Datyra, a 50-person AI consultancy. He was the first AI team member at $CORZ. Prior to that he founded a VC backed data startup that was acquired. Nathan was named “27 CEO’s Under 27” by Entrepreneur.com and has been featured in Inc. and Forbes.| Thomas is originally a geophysicist but his passion for Computer Vision led him to become a Deep Learning engineer at various startups. By creating online courses, he is hoping to make education more accessible. When he is not coding, Thomas can be found in the mountains skiing or climbing.
",4,months,2022-10-12T00:00:00,"<?xml version=""1.0""?><mainmodule><module1><heading>Introduction to Deep Learning</heading><subheading><item1>Developing a Handwritten Digits Classifier with PyTorch</item1><item2>Landmark Classification and Tagging for Social Media</item2><item3> LSTM Seq2Seq Chatbot</item3><item4>Face Generation</item4></subheading></module1><module2><heading>Convolutional Neural Networks</heading><subheading></subheading></module2><module3><heading>RNNs & Transformers</heading><subheading></subheading></module3><module4><heading>Building Generative Adversarial Networks</heading><subheading></subheading></module4></mainmodule>",77676,22849,INR
<200 https://www.udacity.com/course/craft-your-cover-letter--ud244>,Craft Your Cover Letter,"<p>Introduce yourself with a memorable cover letter. In this short course, you'll use proven writing techniques to show why you are the best person for the job. You’ll learn how to research company values, target your pitch, and craft an authentic story that connects with their mission. We give you the research and writing tools you need to show why you're the best person for the job!</p>","See the , for using Udacity.","Udacity's Intro to Programming is your first step towards careers in Web and App Development, Machine Learning, Data Science, AI, and more! This program is perfect for beginners.",Trinh Nguyen,,,,,,"<?xml version=""1.0""?><mainmodule><module1><heading>Craft Your Cover Letter</heading><subheading><item1>Target your applications to specific opportunities</item1></subheading></module1></mainmodule>",Free,,
<200 https://www.udacity.com/course/machine-learning-interview-prep--ud1001>,Machine Learning Interview Preparation,"<p>In this course, you’ll learn exactly what to expect during a machine learning interview. You’ll cover all the common questions and technical strategies, and review a range of important topics, from machine learning algorithms to image categorization. You’ll also learn best practices for data structure questions and whiteboard problems, and at the end of the course, you’ll get unlimited access to mock interviews on Pramp. Complete this course and hone your interview skills today!</p>","Students with the following technical skills can expect to get the most out of the course:,Don't yet have these technical skills but want to master them? Enroll in one of the following Nanodegree programs:,See the , for using Udacity.",This course is your first step towards acing a machine learning technical interview.,Arpan Chakraborty| Brynn Claypoole| Horatio Thomas,,,,,,"<?xml version=""1.0""?><mainmodule><module1><heading>Machine Learning Interview Guide</heading><subheading><item1>Learn what to expect in a machine learning interview</item1><item2>Predict rain, identify fish, detect plagiarism</item2><item3>Learn how to answer interview questions in an engaging way</item3></subheading></module1><module2><heading>Machine Learning Interview Practice</heading><subheading><item1>Approach your next interview as a conversation, not a test</item1><item2>Reduce data dimensionality and explore how SVMs work</item2><item3>Practice clarifying the question, confirming inputs, writing test cases, and analyzing runtime</item3></subheading></module2><module3><heading>Technical Interviewing Techniques</heading><subheading><item1>Focus on the importance of industry-based research</item1><item2>Answer practice questions to test your skills in computer science fundamentals, applications of machine learning algorithms, and other key interview topics</item2><item3>Access unlimited mock interviews with Pramp!</item3></subheading></module3></mainmodule>",Free,,
<200 https://www.udacity.com/course/front-end-interview-prep--ud250>,Front-End Interview Prep,"<p>This course takes you through a mock interview, and offers detailed analysis on how to field key industry questions. Your will review common Front-End Web Developer interview topics ranging from palindrome functions to closures, and learn best practices for behavioral questions and whiteboard problems. Upon completing this course, you’ll be ready to successfully  showcase your skills during a Front-End Web Developer interview!</p>","See the , for using Udacity.","Udacity's Intro to Programming is your first step towards careers in Web and App Development, Machine Learning, Data Science, AI, and more! This program is perfect for beginners.",Mike Wales,,,,,,"<?xml version=""1.0""?><mainmodule><module1><heading>Interview Practice</heading><subheading><item1>See how interviewers break down questions</item1></subheading></module1></mainmodule>",Free,,
<200 https://www.udacity.com/course/android-interview-prep--ud241>,Android Interview Prep,"<p>This course is an excellent way to prepare for technical interviews. You’ll experience a mock interview, and review detailed analysis on how to field key industry questions. You’ll work through common Android Developer interview topics ranging from explicit and implicit intents to designing a min stack, and you’ll learn best practices for behavioral questions and whiteboard problems. Upon completing the course, you’ll be ready to showcase your skills during the Android Developer interview!</p>","See the , for using Udacity.",This course is your first step towards acing an Android Developer technical interview.,Eric Gonzalez,,,,,,"<?xml version=""1.0""?><mainmodule><module1><heading>Interview Practice</heading><subheading><item1>Learn about different interviewing formats at various companies</item1></subheading></module1></mainmodule>",Free,,
<200 https://www.udacity.com/course/material-design-for-android-developers--ud862>,Material Design for Android Developers,"<p>In this course, you'll learn how to apply the material design principles that define Android's visual language to your apps. We'll start by walking you through Android design fundamentals, then we'll show you how to apply this knowledge to transform design elements of sample apps. By the end of the course, you'll understand how to create and use material design elements, surfaces, transitions and graphics in your app, across multiple form factors.</p>","To get the most out of this course, you should have prior experience developing Android apps. If you lack this experience, please take , prior to enrolling in this one. We also recommend taking , if you are interested in publishing your app to the Google Play Store.,To follow along with course activities, you , have access to the latest release of ,, and should have access to an Android device for running and testing your apps.  ,We share code through Github, so you must be familiar with using Github to access code. Take our course on , if you lack this background.,See the , for using Udacity.",Master Android development with Kotlin and build professional apps for the world's most popular mobile platform using Android Studio and Kotlin.,Roman Nurik| James Williams| Nick Butcher,,,,,,"<?xml version=""1.0""?><mainmodule><module1><heading>Android Design Fundamentals</heading><subheading><item1>Understand and apply the fundamentals of Android design to your app.</item1><item2>Understand how to use surfaces to structure the hierarchy in an app.</item2><item3>Learn how to effectively use imagery and fonts.</item3><item4>How to properly time an animation.</item4><item5>Learn how to implement your designs on many screen sizes.</item5></subheading></module1><module2><heading>Surfaces</heading><subheading><item1>Understand app structures, common navigation patterns and themes.</item1><item2>Learn how use surfaces to control interaction of elements in an app.</item2><item3>Learn how to effectively use color.</item3><item4>Transition between application states.</item4><item5>Learn what considerations to make when adapting a design.</item5></subheading></module2><module3><heading>Bold Graphic Design</heading><subheading></subheading></module3><module4><heading>Meaningful Motion.</heading><subheading></subheading></module4><module5><heading>Adaptive Design.</heading><subheading></subheading></module5></mainmodule>",Free,,
<200 https://www.udacity.com/course/engagement-monetization-mobile-games--ud407>,Engagement & Monetization | Mobile Games,"<p>At first it may seem strange to consider monetization before a game is even completed, and many developers leave this as an afterthought. But monetization should be built into the fabric of a game from the beginning, because a clearly defined and understood monetization strategy can have tremendous impact on design decisions made during the development process. This kind of forward-thinking approach is especially important in today’s highly competitive game market, and keeping monetization strategy front-of-mind throughout can be the difference between product success and failure. </p>","Some experience with Java, Android Studio, and activities is very helpful for coding in your own ads, otherwise minimal technical experience is required.,See the , for using Udacity.",Master Android development with Kotlin and build professional apps for the world's most popular mobile platform using Android Studio and Kotlin.,Ankur Prasad| Cezanne Camacho,,,,,,"<?xml version=""1.0""?><mainmodule><module1><heading>Engagement</heading><subheading><item1>Learn the best design strategies to build an addictive game.</item1><item2>Monetization strategies for both paid games and free-to-download “freemium” games.</item2><item3>Get useful player feedback, and how to test out versions of your game with A/B testing.</item3></subheading></module1><module2><heading>Monetization Models</heading><subheading><item1>Designing game difficulty, and including competition and social networks to get players more involved.</item1><item2>A comparison of both premium and freemium models.</item2><item3>Design strategies for choosing what will appear in the app store—like icons and screenshots.</item3></subheading></module2><module3><heading>Best Publishing Practices</heading><subheading><item1>Inspiring engagement is critical for a game to produce revenue in the long-term.</item1><item2>How to effectively implement ads and in-app purchases.</item2><item3>Get your game to stand out against the competition.</item3></subheading></module3></mainmodule>",Free,,
<200 https://www.udacity.com/course/passwordless-login-solutions-for-android--ud357>,Passwordless Login Solutions for Android,"<p>For an app developer, providing a seamless user experience is critical for building engagement and growing a user base. Passwordless login solutions provide your users with a simple, secure, and positive first experience.</p>","To get the most out of this course, you should have at least 3 months experience developing Android apps and familiarity using a third party SDK. If you lack this experience, please take our , course prior to enrolling in this one. ,To follow along with course activities, you must create a , account, which will provide access to the Facebook Platform.,See the , for using Udacity.",Master Android development with Kotlin and build professional apps for the world's most popular mobile platform using Android Studio and Kotlin.,Gabrielle Miller-Messner| Sam Chordas,,,,,,"<?xml version=""1.0""?><mainmodule><module1><heading>Introduction to Passwordless Login Solutions</heading><subheading><item1>Learn why users’ login preferences are so critical for your app</item1><item2>Create your Facebook for Developers account</item2><item3>Configure authentication with Facebook Login for a sample app</item3><item4>Learn strategies for handling many types of Facebook Authentication cases</item4><item5>Understand the best practices for asking permission from users to access their Facebook data</item5></subheading></module1><module2><heading>Account Kit</heading><subheading><item1>Discover how Account Kit and Facebook Login positively impact the login experience</item1><item2>Configure authentication with Account Kit in a sample app</item2><item3>Learn best practices for asking users for permissions</item3><item4>Test your app’s Login flow against these common use cases</item4><item5>Use the Graph API to add social features to an app</item5></subheading></module2><module3><heading>Facebook Login</heading><subheading><item1>Explore ways these solutions can expand the reach of your app</item1><item2>Track app events and analytics</item2><item3>Explore Facebook Login analytics from real partner apps</item3></subheading></module3><module4><heading>Testing Login Flow</heading><subheading></subheading></module4><module5><heading>Introduction to the Graph API</heading><subheading></subheading></module5></mainmodule>",Free,,
<200 https://www.udacity.com/course/mobile-design-and-usability-for-android--ud358>,Mobile Design and Usability for Android,"<p>Featuring Facebook's experts in User Research and Product Design, this course walks you through the steps to design a new mobile product that puts users first. You'll learn how to use data collected from users to guide prototyping, and conduct user testing with a production app to guide a future redesign.</p>","To get the most from this course, you should have prior experience developing web or mobile apps.,See the , for using Udacity.",Master Android development with Kotlin and build professional apps for the world's most popular mobile platform using Android Studio and Kotlin.,Jeff Anders| Nick Leggett| Gabrielle Miller-Messner,,,,,,"<?xml version=""1.0""?><mainmodule><module1><heading>Designing for Usability</heading><subheading><item1>Learn how to conduct user research</item1><item2>Learn about popular usability testing methods</item2></subheading></module1><module2><heading>Usability Testing</heading><subheading><item1>Develop user types and use cases</item1><item2>Conduct user testing on an Android app</item2></subheading></module2></mainmodule>",Free,,
